[1.3172646056968396, 0.0, 'arm moving down', 1447936676.018, -0.003170727294061315, 0.0, 'forearm stopped', 1447936675.818, -0.004396170664640264, 0.0, 'opening forearm', 1447936675.718, 0.0, 0.0, 'waving', 1447936675.718, -0.004583017735363404, 0.0, 'forearm stopped', 1447936675.519, -0.014030557214359085, 0.0]
[1.2869101764917092, 0.0, 'hand under elbow', 1447936676.116, -0.030354429205130318, 0.0, 'arm moving down', 1447936676.018, -0.003170727294061315, 0.0, 'forearm stopped', 1447936675.818, -0.004396170664640264, 0.0, 'opening forearm', 1447936675.718, 0.0, 0.0, 'waving', 1447936675.718, -0.004583017735363404, 0.0]
[1.2869101764917092, 0.0, 'opening forearm', 1447936676.217, 0.0, 0.0, 'hand under elbow', 1447936676.116, -0.030354429205130318, 0.0, 'arm moving down', 1447936676.018, -0.003170727294061315, 0.0, 'forearm stopped', 1447936675.818, -0.004396170664640264, 0.0, 'opening forearm', 1447936675.718, 0.0, 0.0]
[0.0, 0.0, 'walking backward', 1447936744.218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 'closing forearm', 1447936744.218, 0.0, 0.0, 'walking backward', 1447936744.218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.036747989536266, 0.0, 'forearm stopped', 1447936744.316, 1.036747989536266, 0.0, 'closing forearm', 1447936744.218, 0.0, 0.0, 'walking backward', 1447936744.218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.3109238700249963, 0.0, 'no walking', 1447936744.819, 0.27417588048873043, 0.0, 'forearm stopped', 1447936744.316, 1.036747989536266, 0.0, 'closing forearm', 1447936744.218, 0.0, 0.0, 'walking backward', 1447936744.218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[1.4189452210904956, 0.0, 'closing forearm', 1447936745.22, 0.10802135106549926, 0.0, 'no walking', 1447936744.819, 0.27417588048873043, 0.0, 'forearm stopped', 1447936744.316, 1.036747989536266, 0.0, 'closing forearm', 1447936744.218, 0.0, 0.0, 'walking backward', 1447936744.218, 0.0, 0.0]
[1.4255221013021244, 0.0, 'hand above elbow', 1447936745.319, 0.006576880211628833, 0.0, 'closing forearm', 1447936745.22, 0.10802135106549926, 0.0, 'no walking', 1447936744.819, 0.27417588048873043, 0.0, 'forearm stopped', 1447936744.316, 1.036747989536266, 0.0, 'closing forearm', 1447936744.218, 0.0, 0.0]
[1.4299017297924435, 0.0, 'arm moving up', 1447936745.421, 0.004379628490319032, 0.0, 'hand above elbow', 1447936745.319, 0.006576880211628833, 0.0, 'closing forearm', 1447936745.22, 0.10802135106549926, 0.0, 'no walking', 1447936744.819, 0.27417588048873043, 0.0, 'forearm stopped', 1447936744.316, 1.036747989536266, 0.0]
