[1.9558755343040333, 0.0, 'handing', 1448967450.955, -0.09307735306197307, 0.0, 'elbow in front of body', 0.0, -0.09307735306197307, 0.0, 'elbow behind body', 0.09999990463256836, -0.20228596951697764, 0.0, 'handing', 0.3970000743865967, -0.4570195456745503, 0.0, 'elbow in front of body', -0.5969998836517334, -0.4570195456745503, 0.0]
[1.8630088477117435, 0.0, 'no walking', 1448967451.255, -0.0928666865922898, 0.0, 'handing', 0.3000001907348633, -0.09307735306197307, 0.0, 'elbow in front of body', -0.3000001907348633, -0.09307735306197307, 0.0, 'elbow behind body', -0.20000028610229492, -0.20228596951697764, 0.0, 'handing', 0.0969998836517334, -0.4570195456745503, 0.0]
[1.8506418274419403, 0.0, 'elbow behind body', 1448967451.358, -0.012367020269803186, 0.0, 'no walking', 0.10299992561340332, -0.0928666865922898, 0.0, 'handing', 0.19700026512145996, -0.09307735306197307, 0.0, 'elbow in front of body', -0.4030001163482666, -0.09307735306197307, 0.0, 'elbow behind body', -0.30300021171569824, -0.20228596951697764, 0.0]
[1.8506418274419403, 0.0, 'elbow in front of body', 1448967451.456, -0.012367020269803186, 0.0, 'elbow behind body', 0.09800004959106445, -0.012367020269803186, 0.0, 'no walking', 0.004999876022338867, -0.0928666865922898, 0.0, 'handing', 0.09900021553039551, -0.09307735306197307, 0.0, 'elbow in front of body', -0.501000165939331, -0.09307735306197307, 0.0]
[1.8506418274419403, 0.0, 'handing', 1448967451.456, -0.012367020269803186, 0.0, 'elbow in front of body', 0.0, -0.012367020269803186, 0.0, 'elbow behind body', 0.09800004959106445, -0.012367020269803186, 0.0, 'no walking', 0.004999876022338867, -0.0928666865922898, 0.0, 'handing', 0.09900021553039551, -0.09307735306197307, 0.0]
[1.837269951939031, 0.0, 'elbow behind body', 1448967451.658, -0.013371875502909303, 0.0, 'handing', 0.20199990272521973, -0.012367020269803186, 0.0, 'elbow in front of body', -0.20199990272521973, -0.012367020269803186, 0.0, 'elbow behind body', -0.10399985313415527, -0.012367020269803186, 0.0, 'no walking', -0.19700002670288086, -0.0928666865922898, 0.0]
[1.8687900022037964, 0.0, 'elbow in front of body', 1448967452.257, 0.03152005026476545, 0.0, 'elbow behind body', 0.5989999771118164, -0.013371875502909303, 0.0, 'handing', -0.3970000743865967, -0.012367020269803186, 0.0, 'elbow in front of body', -0.8009998798370361, -0.012367020269803186, 0.0, 'elbow behind body', -0.7029998302459717, -0.012367020269803186, 0.0]
[1.8687900022037964, 0.0, 'handing', 1448967452.258, 0.03152005026476545, 0.0, 'elbow in front of body', 0.0009999275207519531, 0.03152005026476545, 0.0, 'elbow behind body', 0.5980000495910645, -0.013371875502909303, 0.0, 'handing', -0.39800000190734863, -0.012367020269803186, 0.0, 'elbow in front of body', -0.8019998073577881, -0.012367020269803186, 0.0]
[2.9672065590782566, 0.0, 'closing forearm', 1448967478.46, 2.9672065590782566, 0.0, 0.0, 1448967478.46, 0.0, 0.0, 0.0, -1448967478.46, 0.0, 0.0, 0.0, -1448967478.46, 0.0, 0.0, 0.0, -1448967478.46, 0.0, 0.0]
[2.959307405497173, 0.0, 'forearm stopped', 1448967478.657, -0.007899153581083507, 0.0, 'closing forearm', 0.19700002670288086, 2.9672065590782566, 0.0, 0.0, 1448967478.263, 0.0, 0.0, 0.0, -1448967478.657, 0.0, 0.0, 0.0, -1448967478.657, 0.0, 0.0]
