dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
3.851,0,8,0,-0.0052857,0,5,0.702,-0.0011627,0,1,-0.605,-0.00025502,0,5,-0.096,-0.00067947,0,8,-1.405,0.0052536,0,5
3.8501,0,5,0,-0.00090062,0,8,0.104,-0.0052857,0,5,0.598,-0.0011627,0,1,-0.709,-0.00025502,0,5,-0.2,-0.00067947,0,5
3.8446,0,8,0,-0.0055082,0,5,0.394,-0.00090062,0,8,-0.29,-0.0052857,0,5,0.204,-0.0011627,0,1,-1.103,-0.00025502,0,5
3.8446,0,5,0,-0.0055082,0,8,0.101,-0.0055082,0,5,0.293,-0.00090062,0,8,-0.391,-0.0052857,0,5,0.103,-0.0011627,0,5
3.8468,0,1,0,0.002252,0,5,0.205,-0.0055082,0,8,-0.104,-0.0055082,0,5,0.088,-0.00090062,0,8,-0.596,-0.0052857,0,5
3.8469,0,5,0,6.6006e-05,0,1,0.099,0.002252,0,5,0.106,-0.0055082,0,8,-0.203,-0.0055082,0,5,-0.011,-0.00090062,0,5
3.8514,0,8,0,0.0044826,0,5,0.599,6.6006e-05,0,1,-0.5,0.002252,0,5,-0.493,-0.0055082,0,8,-0.802,-0.0055082,0,5
3.8582,0,5,0,0.0068163,0,8,0.097,0.0044826,0,5,0.502,6.6006e-05,0,1,-0.597,0.002252,0,5,-0.59,-0.0055082,0,5
3.8598,0,1,0,0.0016367,0,5,0.204,0.0068163,0,8,-0.107,0.0044826,0,5,0.298,6.6006e-05,0,1,-0.801,0.002252,0,5
3.8603,0,5,0,0.00048265,0,1,0.095,0.0016367,0,5,0.109,0.0068163,0,8,-0.202,0.0044826,0,5,0.203,6.6006e-05,0,5
3.8228,0,8,0,-0.037558,0,5,2.404,0.00048265,0,1,-2.309,0.0016367,0,5,-2.295,0.0068163,0,8,-2.606,0.0044826,0,5
3.8191,0,5,0,-0.0036165,0,8,0.098,-0.037558,0,5,2.306,0.00048265,0,1,-2.407,0.0016367,0,5,-2.393,0.0068163,0,5
3.8163,0,8,0,-0.0028746,0,5,0.301,-0.0036165,0,8,-0.203,-0.037558,0,5,2.005,0.00048265,0,1,-2.708,0.0016367,0,5
3.8131,0,5,0,-0.0031591,0,8,0.099,-0.0028746,0,5,0.202,-0.0036165,0,8,-0.302,-0.037558,0,5,1.906,0.00048265,0,5
3.9852,0,3,0,3.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3.9794,0,1,0,-0.0058077,0,3,0.096,3.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3.9794,0,6,0,-0.0058077,0,1,0,-0.0058077,0,3,0.096,3.9852,0,0,0,0,0,0,0,0,0,5
3.9657,0,4,0,-0.013746,0,6,0.097,-0.0058077,0,1,-0.097,-0.0058077,0,3,-0.00099993,3.9852,0,0,0,0,0,5
3.9657,0,5,0,-0.013746,0,4,0.103,-0.013746,0,6,-0.0060003,-0.0058077,0,1,-0.2,-0.0058077,0,3,-0.104,3.9852,0,5
3.9625,0,1,0,-0.0032152,0,5,0.201,-0.013746,0,4,-0.098,-0.013746,0,6,-0.207,-0.0058077,0,1,-0.401,-0.0058077,0,5
3.9661,0,5,0,0.0036483,0,1,0.1,-0.0032152,0,5,0.101,-0.013746,0,4,-0.198,-0.013746,0,6,-0.307,-0.0058077,0,5
