dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
1.8054,0,12,0,-0.070492,0,5,0.101,-0.070492,0,7,-0.006,-0.034295,0,8,-0.195,-0.034295,0,2,-0.197,-0.034295,0,4
4.0775,0,1,0,-0.011502,0,5,0.2,-0.0094228,0,8,-0.1,-0.022175,0,5,-0.1,0,0,1,-0.4,0,0,5
1.5706,0,5,0,0.0014141,0,1,0.1,0.0021829,0,11,0.201,0.01188,0,4,0.603,0.0003913,0,3,-1.307,0.0018438,0,2
1.6606,0,4,0,-0.00026638,0,15,0.102,-0.0007636,0,5,-0.003,-0.0007636,0,6,-0.1,0.010845,0,1,-0.302,0.010845,0,4
2.9356,0,14,0,0.042245,0,16,0,0.022067,0,15,0.105,0.029913,0,6,-0.012,0.029913,0,5,-0.198,0.012672,0,1
4.0176,0,8,0,0.012208,0,1,0.09,4.0054,0,3,-0.09,4.0054,0,0,0,0,0,0,0,0,0,5
2.5472,0,6,0,2.5472,0,1,0.095,2.5472,0,3,-0.095,2.5472,0,0,0,0,0,0,0,0,0,3
1.6309,0,14,0,0.001013,0,16,0,0.001013,0,7,0.097,0.0042836,0,15,0.208,0.00097345,0,6,-0.305,-0.0018719,0,4
2.0909,0,7,0,-0.025222,0,8,0.099,-0.019897,0,12,0.0010002,-0.1413,0,5,0.1,-0.043232,0,1,-0.402,-0.04253,0,5
1.5554,0,6,0,0.010248,0,5,0.103,-0.0098619,0,3,-0.103,-0.0098619,0,1,-0.0079999,-0.0029027,0,4,-0.198,-0.0029027,0,4
2.4064,0,14,0,2.4064,0,8,0,2.4064,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1.8852,0,6,0,0.025091,0,3,0.201,-0.0054284,0,14,-0.111,-0.048281,0,5,-0.29,-0.048281,0,2,-0.292,-0.048281,0,4
4.413,0,2,0,4.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2.5014,0,12,0,0.033632,0,5,0.2,0.038841,0,1,-0.1,0.048879,0,5,-0.202,0.14777,0,1,-0.198,0.097288,0,1
1.7156,0,12,0,0.022398,0,7,0.096,0.074491,0,2,-0.096,0.074491,0,8,0.0080001,0.038743,0,13,-0.2,0.038743,0,3
1.9369,0,10,0,-0.097826,0,12,0.401,-0.076636,0,4,-0.2,-0.049136,0,10,-0.501,-0.051923,0,2,-0.606,-0.051923,0,1
3.1928,0,16,0,0.050327,0,9,0.00099993,0.050327,0,4,0.103,0.015979,0,8,-0.0090001,0.047058,0,2,-0.201,0.047058,0,1
1.7532,0,1,0,0.046493,0,5,0.407,-0.0021096,0,4,-0.407,-0.0021096,0,7,-0.309,-0.018791,0,8,-0.505,-0.018791,0,3
1.6631,0,5,0,-0.099319,0,8,0.3,-0.060068,0,5,-0.201,-0.060068,0,1,0.0019999,-0.059487,0,5,-0.6,-0.01906,0,2
2.0832,0,12,0,-0.041411,0,8,0.205,-0.085825,0,2,-0.205,-0.085825,0,1,-0.11,-0.25258,0,4,0.2,-0.17311,0,3
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1.9081,0,12,0,-0.028851,0,10,0.1,-0.097826,0,12,0.301,-0.076636,0,4,-0.3,-0.049136,0,10,-0.601,-0.051923,0,1
2.0331,0,15,0,-0.070227,0,8,0,-0.070227,0,4,0.101,-0.035472,0,5,-0.0010002,-0.037312,0,2,-0.201,-0.037312,0,4
1.557,0,14,0,0.00091778,0,5,0.00099993,0.00091778,0,7,0.094,0.00091778,0,2,-0.095,0.00091778,0,4,0.103,-0.0006188,0,2
1.8633,0,12,0,-0.033406,0,7,0.103,-0.064366,0,2,-0.102,-0.064366,0,15,-0.0049996,-0.052461,0,8,-0.109,-0.052461,0,3
4.0104,0,4,0,-0.01496,0,13,0,-0.01496,0,8,0.105,-0.0087748,0,3,-0.0090001,4.0341,0,0,0,0,0,5
1.8111,0,4,0,0.075202,0,14,0.099,0.081946,0,16,-0.099,0.081946,0,3,-0.099,0.081946,0,9,-0.099,0.081946,0,3
2.0699,0,4,0,-0.010174,0,1,0.1,-0.01086,0,3,-0.1,-0.01086,0,4,0.1,-0.0047065,0,3,-0.2,-0.0047065,0,2
3.9964,0,4,0,0.0071498,0,1,0.098,-0.0071967,0,2,-0.097,-0.0071967,0,5,0.601,-0.0026726,0,8,-0.703,-0.0013114,0,5
1.7568,0,14,0,-0.0065503,0,16,0.096,-0.0065503,0,2,-0.096,-0.0065503,0,4,0.101,-0.0073961,0,2,-0.191,-0.012299,0,3
