dx,dy,g1,t1,vx1,vy1,g2,t2,vx2,vy2,g3,t3,vx3,vy3,g4,t4,vx4,vy4,g5,t5,vx5,vy5,label
1.8992,0,5,0,-0.026801,0,1,0.201,-0.024149,0,12,1.097,0.12514,0,9,-1.099,0.073719,0,4,-1.7,0.079963,0,6
3.9801,0,5,0,0.15073,0,1,0.097,0.15073,0,12,-0.097,0.15073,0,14,0.201,0.64697,0,16,-0.395,0.64697,0,5
1.8849,0,4,0,-0.094228,0,16,0.199,-0.073286,0,6,-0.198,-0.073286,0,5,-0.2,-0.073286,0,3,-0.1,-0.07681,0,4
4.0214,0,6,0,-0.0047903,0,3,0,-0.0047903,0,1,0.099,-0.002157,0,8,0.0050001,-0.031207,0,5,-0.0050001,-0.022945,0,5
1.6532,0,4,0,0.06916,0,9,0.00099993,0.06916,0,8,0.101,0.088678,0,15,0.097,-0.00091076,0,2,-0.302,-0.00091076,0,1
4.0772,0,7,0,-0.00099936,0,14,0.1,-0.0046891,0,8,-0.0010002,0.049743,0,5,0.407,0.001721,0,8,-0.704,-0.0009579,0,5
1.8097,0,9,0,0.040663,0,5,0.098,0.066463,0,4,-0.098,0.066463,0,8,0.0039999,0.030287,0,5,-0.101,0.036521,0,1
1.6297,0,14,0,0.022795,0,16,0.00099993,0.022795,0,5,0.499,-0.069781,0,4,-0.5,-0.069781,0,15,-0.301,-0.01528,0,4
2.4211,0,3,0,-0.56714,0,14,0.6,-0.82784,0,16,-0.6,-0.82784,0,10,0.501,-0.052776,0,15,-1.501,-0.095126,0,4
3.795,0,8,0,-0.2502,0,15,0.401,-0.15818,0,5,-0.401,-0.15818,0,1,-0.304,-0.15818,0,10,-0.498,-0.15818,0,1
1.4467,0,4,0,0.0072264,0,14,0.197,-0.042002,0,2,-0.197,-0.042002,0,5,0.305,-0.015757,0,4,-0.699,-0.015757,0,6
1.745,0,1,0,-0.012529,0,2,0,-0.012529,0,5,0.2,-0.0072771,0,4,-0.199,-0.0072771,0,15,-0.101,-0.016225,0,4
